time,setpoint,response,error
0.0372,2.865631,2.615631,0.250000
0.0819,2.865631,2.615631,0.250000
0.1000,2.865631,2.619498,0.246134
0.1279,2.865631,2.619498,0.246134
0.1790,2.865631,2.619498,0.246134
0.1820,2.865631,2.619498,0.246134
0.2004,2.865631,2.623464,0.242167
0.2294,2.865631,2.623464,0.242167
0.2739,2.865631,2.623464,0.242167
0.3004,2.865631,2.627133,0.238498
0.3347,2.865631,2.627133,0.238498
0.3832,2.865631,2.627133,0.238498
0.4001,2.865631,2.632735,0.232896
0.4420,2.865631,2.632735,0.232896
0.4893,2.865631,2.632735,0.232896
0.4999,2.865631,2.642106,0.223525
0.5444,2.865631,2.642106,0.223525
0.5891,2.865631,2.642106,0.223525
0.6003,2.865631,2.641371,0.224260
0.6370,2.865631,2.641371,0.224260
0.6878,2.865631,2.641371,0.224260
0.6971,2.865631,2.641371,0.224260
0.7006,2.865631,2.630949,0.234682
0.7450,2.865631,2.630949,0.234682
0.7962,2.865631,2.630949,0.234682
0.8008,2.865631,2.622154,0.243478
0.8029,2.865631,2.622154,0.243478
0.8470,2.865631,2.622154,0.243478
0.8965,2.865631,2.622154,0.243478
0.9006,2.865631,2.594019,0.271612
0.9515,2.865631,2.594019,0.271612
0.9572,2.865631,2.594019,0.271612
1.0005,2.865631,2.581724,0.283907
1.0037,2.865631,2.581724,0.283907
1.0546,2.865631,2.581724,0.283907
1.0588,2.865631,2.581724,0.283907
1.1010,2.865631,2.537434,0.328197
1.1086,2.865631,2.537434,0.328197
1.1595,2.865631,2.537434,0.328197
1.1651,2.865631,2.537434,0.328197
1.2007,2.865631,2.476819,0.388812
1.2093,2.865631,2.476819,0.388812
1.2584,2.865631,2.476819,0.388812
1.3003,2.865631,2.371187,0.494444
1.3251,2.865631,2.371187,0.494444
1.3718,2.865631,2.371187,0.494444
1.4020,2.865631,2.133742,0.731889
1.4191,2.865631,2.133742,0.731889
1.4699,2.865631,2.133742,0.731889
1.4745,2.865631,2.133742,0.731889
1.5011,2.865631,1.735721,1.129910
1.5181,2.865631,1.735721,1.129910
1.5617,2.865631,1.735721,1.129910
1.6006,2.865631,1.255760,1.609871
1.6113,2.865631,1.255760,1.609871
1.6559,2.865631,1.255760,1.609871
1.7015,2.865631,0.764582,2.101050
1.7028,2.865631,0.764582,2.101050
1.7535,2.865631,0.764582,2.101050
1.7633,2.865631,0.764582,2.101050
1.8015,2.865631,0.483707,2.381924
1.8169,2.865631,0.483707,2.381924
1.8677,2.865631,0.483707,2.381924
1.8720,2.865631,0.483707,2.381924
1.9043,2.865631,0.275963,2.589668
1.9214,2.865631,0.275963,2.589668
1.9722,2.865631,0.275963,2.589668
1.9843,2.865631,0.275963,2.589668
2.0001,2.865631,0.214323,2.651308
2.0338,2.865631,0.214323,2.651308
2.0848,2.865631,0.214323,2.651308
2.0954,2.865631,0.214323,2.651308
2.0999,2.865631,0.115908,2.749724
2.1431,2.865631,0.115908,2.749724
2.1939,2.865631,0.115908,2.749724
2.1966,2.865631,0.115908,2.749724
2.2016,2.865631,0.085797,2.779834
2.2524,2.865631,0.085797,2.779834
2.2623,2.865631,0.085797,2.779834
2.3006,2.865631,-0.014256,2.879887
2.3262,2.865631,-0.014256,2.879887
2.3704,2.865631,-0.014256,2.879887
2.4014,2.865631,-0.032048,2.897679
2.4199,2.865631,-0.032048,2.897679
2.4707,2.865631,-0.032048,2.897679
2.4737,2.865631,-0.032048,2.897679
2.5010,2.865631,-0.036495,2.902127
2.5215,2.865631,-0.036495,2.902127
2.5724,2.865631,-0.036495,2.902127
2.5860,2.865631,-0.036495,2.902127
